"Date/Time","Lat","Lon","Base","Distance"
"8/2/2014 16:45:00",40.7827,-73.8261,"B02512",4088.97618657046
"8/2/2014 16:47:00",40.7582,-73.8572,"B02512",2517.84744622282
"8/2/2014 17:04:00",40.7552,-73.9253,"B02512",4954.03007226846
"8/2/2014 17:36:00",40.7927,-73.9193,"B02512",4203.85679979364
"8/2/2014 18:02:00",40.7682,-73.8622,"B02512",1388.35662623911
"8/2/2014 19:18:00",40.7759,-73.929,"B02512",4637.74029280178
"8/2/2014 20:09:00",40.7877,-73.8368,"B02512",3358.19861349658
"8/2/2014 20:22:00",40.7574,-73.8488,"B02512",3037.44043481234
"8/2/2014 20:27:00",40.7475,-73.8938,"B02512",3674.00028779518
"8/2/2014 21:49:00",40.7739,-73.8725,"B02512",357.096183416598
"8/2/2014 21:56:00",40.7682,-73.9115,"B02512",3306.38763732806
"8/2/2014 23:18:00",40.7671,-73.9219,"B02512",4182.9197273815
"8/3/2014 6:33:00",40.768,-73.9206,"B02512",4051.53535878855
"8/3/2014 7:27:00",40.7743,-73.8719,"B02512",339.277462435561
"8/3/2014 8:08:00",40.7707,-73.8658,"B02512",976.835519265407
"8/3/2014 8:10:00",40.7499,-73.8899,"B02512",3291.04992516946
"8/3/2014 9:14:00",40.7738,-73.9144,"B02512",3423.1422866559
"8/3/2014 9:47:00",40.7673,-73.9221,"B02512",4193.4644289147
"8/3/2014 9:48:00",40.7707,-73.8655,"B02512",994.893191011303
"8/3/2014 9:56:00",40.773,-73.8854,"B02512",1054.53512976477
"8/3/2014 10:31:00",40.77,-73.8644,"B02512",1115.77314417971
"8/3/2014 10:59:00",40.7704,-73.8654,"B02512",1024.29537343259
"8/3/2014 11:29:00",40.7738,-73.8721,"B02512",380.449179780907
"8/3/2014 12:21:00",40.7739,-73.8724,"B02512",360.167560131121
"8/3/2014 13:04:00",40.7737,-73.8717,"B02512",405.57046288397
"8/3/2014 13:10:00",40.7645,-73.9068,"B02512",3090.60516431163
"8/3/2014 14:32:00",40.774,-73.8725,"B02512",346.707892923361
"8/3/2014 14:35:00",40.7508,-73.8475,"B02512",3665.2128871424
"8/3/2014 14:43:00",40.7346,-73.8607,"B02512",4840.52992048406
"8/3/2014 15:04:00",40.773,-73.8855,"B02512",1062.22325320777
"8/3/2014 15:31:00",40.774,-73.8726,"B02512",343.723009356098
"8/3/2014 15:34:00",40.7739,-73.8724,"B02512",360.167560131121
"8/3/2014 15:51:00",40.7607,-73.9211,"B02512",4361.21853361753
"8/3/2014 16:29:00",40.7708,-73.8658,"B02512",969.001917849954
"8/3/2014 16:38:00",40.7945,-73.9212,"B02512",4434.59015000889
"8/3/2014 17:23:00",40.7739,-73.8725,"B02512",357.096183416598
