"ruta";"fecha";"vuelo";"dia_sem";"sem_anio";"asientos";"pasajeros";"hora_despegue";"origen";"destino";"pasajero_conexion";"pasajero_negocio";"pasajeros_noshow"
"53";"LIMA - SAO PAULO";"2016-03-31";2553;4;14;150;140;"19:00:00";"SAO";"LIM";112;7;5
"54";"LIMA - SAO PAULO";"2016-03-30";2553;3;14;150;149;"19:00:00";"SAO";"LIM";122;10;6
"55";"LIMA - SAO PAULO";"2016-03-29";2553;2;14;150;125;"19:00:00";"SAO";"LIM";92;3;12
"56";"LIMA - SAO PAULO";"2016-03-28";2553;1;14;150;136;"19:00:00";"SAO";"LIM";100;5;3
"57";"LIMA - SAO PAULO";"2016-03-27";2554;7;13;150;135;"12:51:00";"LIM";"SAO";101;15;11
"58";"LIMA - SAO PAULO";"2016-04-01";2554;5;14;150;113;"12:51:00";"LIM";"SAO";91;5;5
"59";"LIMA - SAO PAULO";"2016-03-31";2554;4;14;150;111;"12:51:00";"LIM";"SAO";92;4;22
"60";"LIMA - SAO PAULO";"2016-03-30";2554;3;14;150;141;"12:51:00";"LIM";"SAO";114;2;11
"61";"LIMA - SAO PAULO";"2016-03-29";2554;2;14;150;63;"12:51:00";"LIM";"SAO";42;1;32
"62";"LIMA - SAO PAULO";"2016-03-28";2554;1;14;150;106;"12:51:00";"LIM";"SAO";93;4;9
"63";"LIMA - SAO PAULO";"2016-04-01";2607;5;14;150;114;"12:44:00";"SAO";"LIM";63;2;11
"64";"LIMA - SAO PAULO";"2016-03-31";2607;4;14;150;118;"12:44:00";"SAO";"LIM";81;7;11
"65";"LIMA - SAO PAULO";"2016-03-30";2607;3;14;150;140;"12:44:00";"SAO";"LIM";107;10;5
"66";"LIMA - SAO PAULO";"2016-03-29";2607;2;14;150;119;"12:44:00";"SAO";"LIM";90;0;12
"67";"LIMA - SAO PAULO";"2016-03-28";2607;1;14;150;130;"12:44:00";"SAO";"LIM";90;1;6
"68";"LIMA - SAO PAULO";"2016-04-01";2608;5;14;150;82;"08:25:00";"LIM";"SAO";58;1;7
"69";"LIMA - SAO PAULO";"2016-03-31";2608;4;14;150;91;"08:25:00";"LIM";"SAO";68;2;24
"70";"LIMA - SAO PAULO";"2016-03-30";2608;3;14;150;143;"08:25:00";"LIM";"SAO";114;3;14
"71";"LIMA - SAO PAULO";"2016-03-29";2608;2;14;150;103;"08:25:00";"LIM";"SAO";79;2;8
"72";"LIMA - SAO PAULO";"2016-03-28";2608;1;14;150;118;"08:25:00";"LIM";"SAO";71;4;6
"73";"LIMA - SAO PAULO";"2016-03-27";607;7;13;150;135;"12:44:00";"SAO";"LIM";75;5;6
"74";"LIMA - SAO PAULO";"2016-03-27";608;7;13;150;130;"08:27:00";"LIM";"SAO";86;2;11
"75";"LIMA - SAO PAULO";"2016-03-27";609;7;13;150;108;"04:20:00";"SAO";"LIM";60;0;8
"76";"LIMA - SAO PAULO";"2016-02-28";2417;7;9;144;142;"19:00:00";"SAO";"LIM";120;6;1
"77";"LIMA - SAO PAULO";"2016-02-21";2417;7;8;144;144;"19:00:00";"SAO";"LIM";87;22;1
"78";"LIMA - SAO PAULO";"2016-02-14";2417;7;7;144;124;"19:00:00";"SAO";"LIM";102;8;7
"79";"LIMA - SAO PAULO";"2016-02-07";2417;7;6;144;124;"19:00:00";"SAO";"LIM";95;6;4
"80";"LIMA - SAO PAULO";"2016-02-27";2417;6;9;144;136;"19:00:00";"SAO";"LIM";93;3;9
"81";"LIMA - SAO PAULO";"2016-02-20";2417;6;8;144;131;"19:00:00";"SAO";"LIM";85;10;2
"82";"LIMA - SAO PAULO";"2016-02-13";2417;6;7;144;140;"19:00:00";"SAO";"LIM";99;24;3
"83";"LIMA - SAO PAULO";"2016-02-06";2417;6;6;144;111;"19:00:00";"SAO";"LIM";98;9;3
"84";"LIMA - SAO PAULO";"2016-02-26";2417;5;9;144;144;"19:00:00";"SAO";"LIM";128;15;1
"85";"LIMA - SAO PAULO";"2016-02-19";2417;5;8;144;133;"19:00:00";"SAO";"LIM";101;13;7
"86";"LIMA - SAO PAULO";"2016-02-12";2417;5;7;144;135;"19:00:00";"SAO";"LIM";117;14;3
"87";"LIMA - SAO PAULO";"2016-02-05";2417;5;6;144;136;"19:00:00";"SAO";"LIM";123;15;3
